Year,State,City,SchoolName,NcesCharterSchool,NcesMagnetSchool,SchoolLevel,Nces Total Enrollment,Low Grade,High Grade,Percent FRL,EEI Score,EEI Category,Math Est Prof,Math Ach Cat,Reading Est Prof,Reading Ach Cat,Percent Nat Am,Percent Asian,Percent Hispanic,Percent Black,Percent White,Percent Pac Isl,Percent Two Or More Races
2015,Massachusetts,Boston,Bridge Boston Charter School,Charter,,Elem,189,K,3,100%,No Score,-,71%,Green,54%,Green,0%,2%,34%,58%,1%,0%,6%
2015,Massachusetts,Boston,Brooke Charter School Mattapan,,,"Elem, Middle",-,K,8,-,No Score,-,76%,Green,73%,Green,-,-,-,-,-,-,-
2015,New York,New York,Concourse Village Elementary School,,,Elem,-,K,3,-,No Score,-,78%,Green,59%,Green,-,-,-,-,-,-,-
2015,Georgia,Augusta,Davidson Magnet School,,Magnet,"Middle, High",758,6,12,97%,No Score,-,76%,Green,79%,Green,0%,5%,3%,43%,44%,0%,4%
2015,New York,New York,Family Life Academy Charter School Ii,,,Elem,-,K,3,-,No Score,-,74%,Green,73%,Green,-,-,-,-,-,-,-
2015,Missouri,St. Louis,Kennard/Classical Jr. Academy,,Magnet,Elem,377,K,5,100%,No Score,-,87%,Green,95%,Green,0%,9%,2%,30%,59%,0%,0%
2015,Tennessee,Memphis,Maxine Smith Steam Academy,,,Middle,-,6,8,-,No Score,-,99%,Green,94%,Green,-,-,-,-,-,-,-
2015,Missouri,St. Louis,Mckinley Class. Leadership Ac.,,,"Middle, High",535,6,12,100%,No Score,-,52%,Green,69%,Green,1%,7%,4%,47%,42%,0%,0%
2015,Ohio,Akron,Miller-South Visual Performing Arts,,,"Elem, Middle",499,4,8,18%,No Score,-,57%,Green,76%,Green,0%,3%,3%,17%,70%,0%,6%
2015,New York,New York,Neighborhood Charter School of Harlem,,,Elem,-,K,3,-,No Score,-,81%,Green,58%,Green,-,-,-,-,-,-,-
2015,New York,New York,Success Academy Bed-Stuy 1,,,Elem,-,K,4,-,No Score,-,96%,Green,82%,Green,-,-,-,-,-,-,-
2015,New York,New York,Success Academy Bed-Stuy 2,,,Elem,-,K,4,-,No Score,-,79%,Green,55%,Green,-,-,-,-,-,-,-
2015,New York,New York,Success Academy Cobble Hill,,,Elem,-,K,3,-,No Score,-,91%,Green,90%,Green,-,-,-,-,-,-,-
2015,New York,New York,Success Academy Upper West,,,Elem,-,K,4,-,No Score,-,96%,Green,71%,Green,-,-,-,-,-,-,-
2015,New York,New York,Success Academy Williamsburg,,,Elem,-,K,3,-,No Score,-,97%,Green,70%,Green,-,-,-,-,-,-,-
2015,Texas,Houston,Two Dimensions/Vickery,Charter,,"Elem, Middle",194,K,8,94%,No Score,-,76%,Green,53%,Green,0%,0%,7%,93%,0%,0%,0%
2015,Texas,Plano,Andrews Elementary School,,,Elem,699,K,5,3%,100,Far Above Average,98%,Green,96%,Green,0%,68%,5%,3%,22%,0%,1%
2015,New York,New York,Baccalaureate School for Global Education,,,"Middle, High",476,7,12,43%,100,Far Above Average,100%,Green,100%,Green,1%,47%,17%,2%,32%,-,2%
2015,Texas,Plano,Borchardt Elementary School,,,Elem,727,K,5,4%,100,Far Above Average,98%,Green,96%,Green,1%,60%,6%,6%,25%,0%,3%
2015,Texas,Midland,Carver Center,,,Elem,431,2,6,8%,100,Far Above Average,98%,Green,96%,Green,0%,3%,25%,2%,67%,0%,3%
2015,Tennessee,Murfreesboro,Central Magnet School,,Magnet,"Middle, High",1230,6,12,9%,100,Far Above Average,99%,Green,99%,Green,0%,6%,3%,3%,87%,0%,1%
2015,Virginia,Richmond,Fairfield Court Elementary School,,,Elem,541,K,5,97%,100,Far Above Average,97%,Green,97%,Green,0%,1%,1%,96%,0%,0%,2%
2015,New York,New York,I.S. 187 The Christa Mcauliffe School,,,Middle,1020,6,8,63%,100,Far Above Average,96%,Green,94%,Green,0%,70%,5%,1%,23%,-,1%
2015,Texas,Dallas,Irma Rangel Young Womens Leadershi,,Magnet,Middle,283,6,8,76%,100,Far Above Average,97%,Green,96%,Green,0%,2%,71%,14%,12%,0%,1%
2015,Virginia,Virginia Beach,Kemps Landing Magnet,,Magnet,Middle,1098,6,8,10%,100,Far Above Average,97%,Green,97%,Green,0%,16%,6%,5%,64%,0%,9%
2015,Texas,Dallas,William B Travis Acad/Vangrd For A,,Magnet,"Elem, Middle",274,4,8,34%,100,Far Above Average,97%,Green,96%,Green,0%,8%,28%,11%,50%,0%,4%
2015,Texas,Dallas,William B Travis Acdmy/Vngrd For A,,Magnet,Elem,132,4,5,18%,100,Far Above Average,98%,Green,96%,Green,1%,7%,15%,4%,73%,0%,1%
2015,Virginia,Norfolk,Willoughby Elementary School,,,Elem,204,K,5,57%,100,Far Above Average,99%,Green,98%,Green,0%,2%,11%,36%,44%,0%,6%
2015,Illinois,Chicago,Young Magnet High School,,Magnet,"Middle, High",2205,7,12,43%,100,Far Above Average,100%,Green,100%,Green,0%,15%,28%,24%,29%,0%,4%
2015,California,Carson,California Academy Of Mathematics And Science,,Magnet,High,676,9,12,45%,99.9,Far Above Average,90%,Green,95%,Green,0%,28%,42%,14%,11%,1%,4%
